,ID,Gender,Race,Age_at_Release,Residence_PUMA,Supervision_Risk_Score_First,Supervision_Level_First,Education_Level,Dependents,Prison_Years,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,Prior_Arrest_Episodes_PPViolationCharges,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Prior_Conviction_Episodes_Felony,Prior_Conviction_Episodes_Misd,Prior_Conviction_Episodes_Viol,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug,Prior_Conviction_Episodes_PPViolationCharges,Prior_Conviction_Episodes_DomesticViolenceCharges,Prior_Conviction_Episodes_GunCharges,Prior_Revocations_Parole,Prior_Revocations_Probation,Condition_MH_SA,Condition_Cog_Ed,Condition_Other,Violations_ElectronicMonitoring,Violations_Instruction,Violations_FailToReport,Violations_MoveWithoutPermission,Delinquency_Reports,Program_Attendances,Program_UnexcusedAbsences,Residence_Changes,Percent_Days_Employed,Jobs_Per_Year,Employment_Exempt,Recidivism_Within_3years
42,43,0,0,45,16,2.0,0,0,0,0.5,10,6,3,5,1,5,0,0,3,2,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,2,2,0.0,0.0,0,1
43,44,1,0,35,16,9.0,1,3,3,0.5,10,6,2,4,4,5,0,1,3,4,1,1,2,1,0,1,0,0,1,1,1,0,0,1,0,4,10,3,0,0.0,0.0,0,1
44,45,1,1,45,21,5.0,0,0,0,1.5,8,6,3,2,2,5,0,1,3,2,1,1,2,1,0,1,0,0,1,1,1,0,0,0,0,4,0,0,2,1.0,2.0,0,1
45,46,1,1,40,24,4.0,1,3,3,2.5,5,4,1,1,0,3,0,0,2,2,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0.50617284,1.288359788,0,1
46,47,1,0,40,12,4.0,0,2,2,0.5,4,6,0,2,3,4,0,0,2,4,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,4,6,0,0,0.985765125,0.433274021,0,0
47,48,1,0,40,4,3.0,1,1,1,1.5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,10,0,0,1.0,1.493865031,0,0
48,49,1,0,35,16,4.0,0,3,3,0.5,6,2,0,2,2,1,0,1,3,1,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,6,0,3,0.734756098,2.0,0,1
49,50,1,1,40,17,9.0,1,0,0,2.5,7,6,1,3,3,0,0,0,3,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,1.0,2.292364017,0,0
50,51,0,0,45,9,7.0,2,0,0,1.5,10,6,0,5,5,5,0,1,3,4,0,3,2,1,0,0,0,0,1,1,0,0,1,0,0,4,10,0,3,0.064458371,0.326991943,0,0
51,52,1,0,35,14,9.0,1,0,0,0.5,10,6,1,5,4,5,0,0,3,4,0,3,2,1,0,0,0,0,1,1,1,0,0,1,1,2,0,0,1,0.0,0.0,0,1
52,53,1,0,20,21,8.0,1,3,3,1.5,6,3,1,1,1,4,1,0,3,2,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,4,10,2,3,0.286259542,2.091125954,1,1
53,54,1,1,55,3,5.0,0,3,3,0.5,10,6,2,5,5,5,0,0,3,4,0,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
54,55,1,1,40,3,5.0,1,3,3,1.5,8,6,0,5,1,5,0,0,3,4,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,0.945794393,0.34135514,0,0
55,56,1,1,25,4,8.0,2,3,3,2.5,4,2,2,0,3,2,1,0,1,3,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,4,8,1,3,0.0,0.0,0,1
56,57,1,1,40,3,6.082216088328075,2,0,0,1.5,10,6,2,0,2,5,0,0,3,3,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,4,10,3,0,1.0,0.798360656,0,1
57,348,1,0,35,17,7.0,2,1,1,1.5,4,5,0,1,0,5,0,1,2,4,1,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0.816425121,2.0,0,1
58,58,1,1,40,6,5.0,0,0,0,2.5,10,6,3,5,1,5,1,0,1,4,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,4,0,0,2,0.0,0.0,0,1
59,59,1,1,35,3,7.0,2,3,3,1.5,6,6,0,1,5,4,0,0,3,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,6,1,0,0.211466165,0.343280075,0,1
60,60,1,0,45,3,6.0,2,3,3,1.5,6,6,0,0,5,3,0,1,3,4,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,10,1,0,0.0,0.0,0,1
61,61,1,1,35,5,9.0,1,1,1,2.5,7,5,1,2,5,3,0,0,2,4,0,1,2,0,0,0,0,0,1,1,0,0,1,0,0,0,10,3,0,0.220647773,0.24645749,0,0
62,62,0,0,55,3,3.0,0,0,0,0.5,10,5,0,5,0,5,0,0,3,4,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0
63,63,1,1,45,5,3.0,0,2,2,0.5,10,6,2,5,5,5,0,0,2,4,0,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0.314496314,0.897420147,0,0
64,64,0,0,45,6,7.0,0,2,2,2.5,10,6,3,5,1,5,1,0,2,2,0,2,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0.954819277,0.550075301,0,0
65,65,0,0,55,19,7.0,2,0,0,1.5,4,3,0,2,1,2,0,0,3,1,0,2,1,0,0,0,0,0,1,1,0,0,1,0,1,4,9,0,0,0.254104769,0.285574668,0,1
66,66,1,1,35,9,10.0,1,0,0,1.5,10,6,0,5,4,5,0,0,3,4,0,3,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0,1
67,67,1,1,30,20,7.0,2,3,3,1.5,4,5,0,2,1,2,1,0,2,4,1,2,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,3,1.0,1.808168317,0,0
68,68,1,1,35,3,6.082216088328075,0,2,2,0.5,10,6,1,5,1,5,0,0,2,4,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1,0
69,69,1,1,35,3,6.0,2,3,3,3.5,10,6,3,3,4,5,0,0,1,4,0,1,2,1,0,0,0,0,0,0,1,0,1,0,1,4,10,3,3,0.186412593,0.453914664,0,0
70,70,0,0,55,25,3.0,0,0,0,1.5,7,5,0,4,1,3,0,0,3,4,0,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0.708029197,0.999771898,0,1
71,71,1,0,40,12,6.082216088328075,0,2,2,0.5,8,6,2,1,4,5,0,1,2,4,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0
72,72,1,0,35,14,8.0,1,0,0,2.5,10,6,1,5,0,5,0,1,2,3,0,2,0,1,0,0,0,1,0,0,1,0,1,0,1,4,10,0,1,0.964805825,0.221632282,0,0
73,73,1,1,35,6,10.0,0,3,3,1.5,8,1,0,5,1,1,0,0,3,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0
74,74,1,0,40,12,7.0,2,3,3,0.5,10,6,3,5,4,5,0,1,3,4,1,3,2,1,0,1,0,0,1,0,1,0,0,0,0,0,1,3,0,0.943262411,1.0,0,1
75,75,1,1,45,4,5.0,0,0,0,3.5,6,6,3,2,4,2,1,1,3,4,1,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1
76,76,1,0,45,6,10.0,1,3,3,3.5,10,6,0,5,1,4,0,0,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0.25577812,0.562788906,0,0
77,77,0,0,45,9,9.0,1,2,2,1.5,10,3,1,5,5,3,0,0,3,2,0,3,2,0,0,0,0,0,1,1,0,0,0,1,0,2,10,0,0,0.381201044,0.953655352,0,1
78,78,1,1,35,5,9.0,1,1,1,3.5,8,5,1,2,4,5,0,0,3,4,0,2,2,1,0,0,1,0,1,0,0,0,0,0,1,3,10,3,0,0.605564648,0.597790507,0,0
79,80,1,1,35,12,5.0,0,2,2,1.5,6,4,1,2,2,1,0,0,1,2,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0.878930818,0.574292453,0,0
80,81,1,1,35,12,5.0,0,0,0,1.5,10,6,3,5,2,5,1,0,3,4,1,3,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0.01242236,1.0,0,1
81,82,1,1,35,3,1.0,0,1,1,2.5,10,1,3,4,0,5,0,0,3,3,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0.0,0.0,0,1
82,83,1,0,55,12,10.0,0,3,3,1.5,10,6,2,5,1,5,0,0,3,2,0,3,0,1,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,1.0,1.0,0,1
83,84,1,1,40,3,7.0,2,0,0,2.5,10,2,2,2,5,5,0,1,2,2,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0.227994228,0.527056277,0,0
84,85,0,1,35,3,1.0,0,3,3,0.5,10,6,3,5,0,5,0,0,3,4,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1
85,86,1,0,45,14,6.0,2,0,0,1.5,9,6,1,3,3,5,0,0,2,4,0,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,10,0,0,1.0,1.634228188,0,1
86,87,1,0,30,14,5.0,0,0,0,0.5,7,6,1,4,2,1,0,0,2,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0.920025189,0,0
87,88,0,1,35,3,7.0,2,2,2,3.5,10,6,2,5,1,5,0,0,3,2,1,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0.859838275,0.984501348,0,1
88,89,1,1,35,4,6.0,2,1,1,1.5,10,6,2,5,2,5,1,0,3,4,0,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.071763917,0.244969819,0,1
89,90,1,1,45,3,1.0,2,3,3,1.5,7,6,3,0,4,4,0,1,1,1,0,0,2,1,0,1,0,0,1,1,0,0,0,0,0,0,6,3,0,0.894085282,1.004814305,0,0
90,91,1,0,35,4,9.0,0,1,1,1.5,8,5,0,5,2,3,0,0,2,2,0,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,6,0,1,0.876319759,0.550904977,0,0
91,92,1,1,40,3,5.0,0,2,2,0.5,10,6,2,1,1,5,0,1,0,3,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0.2890625,0.951171875,0,1
92,93,1,0,35,16,4.0,0,2,2,0.5,6,2,1,1,0,2,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,10,0,0,0.651072125,1.423976608,0,1
93,94,1,0,30,6,6.0,2,0,0,0.5,10,6,2,4,4,5,0,1,1,4,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,1
94,95,1,1,35,6,6.0,2,0,0,1.5,10,1,2,1,5,1,0,0,3,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0,1,1.0,0.568925234,0,1
95,96,1,0,45,14,10.0,1,0,0,1.5,10,6,0,5,2,5,1,0,3,3,0,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,6,0,2,0.153036437,0.295748988,0,1
96,97,0,0,30,4,10.0,1,1,1,2.5,10,6,0,4,2,5,0,0,2,3,0,3,2,1,0,0,0,1,1,1,0,0,0,0,1,4,10,0,0,0.173202614,2.0,0,0
97,98,1,0,35,24,8.0,2,0,0,1.5,6,5,0,0,5,3,0,1,2,3,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,6,0,0,1.0,3.0,0,1
98,99,1,0,55,5,6.0,2,3,3,2.5,10,6,0,5,0,3,0,0,2,4,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0
99,100,1,0,55,11,6.0,1,1,1,3.5,10,6,2,0,5,5,0,1,3,4,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,3,5,0,1,0.0,0.0,0,0
100,101,0,1,35,12,5.0,0,0,0,0.5,4,2,0,3,0,3,0,0,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.951171875,0,0
101,102,1,0,55,17,3.0,0,2,2,0.5,9,5,1,4,5,2,0,0,3,3,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,1,1.0,1.0,0,1
102,103,1,0,40,16,4.0,0,3,3,0.5,5,2,3,0,3,1,1,0,3,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,1
103,104,1,1,35,6,8.0,2,2,2,2.5,7,6,2,3,0,5,0,0,1,2,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0.974421437,0.444884287,0,0
104,105,0,1,45,11,6.0,2,3,3,0.5,10,6,2,5,2,2,0,0,3,2,1,3,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0.673913043,1.0,1,1
105,106,1,0,45,17,2.0,0,3,3,0.5,10,6,1,5,1,5,0,0,3,4,0,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0,1
106,107,0,0,40,16,8.0,0,0,0,0.5,10,6,2,4,3,5,0,0,3,4,0,3,2,1,0,0,0,0,1,0,0,0,0,0,0,2,4,2,1,0.0,0.0,0,0
107,108,1,1,55,6,4.0,0,3,3,1.5,3,1,0,0,4,0,0,0,2,1,1,0,2,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0
108,109,0,0,45,16,10.0,1,1,1,2.5,10,6,1,5,2,5,0,0,3,4,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.459378134,0.366349047,1,1
109,110,1,1,55,11,4.0,0,0,0,3.5,10,6,3,5,3,5,0,0,3,4,1,3,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0.395209581,1.0,0,1
110,111,1,0,35,17,6.0,2,1,1,1.5,10,6,2,1,5,5,0,0,3,4,1,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0.473520249,0.379283489,0,1
111,112,1,1,40,21,10.0,1,0,0,1.5,10,1,0,5,0,1,0,0,3,1,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1
112,113,1,0,35,25,10.0,1,3,3,1.5,10,6,1,5,2,5,0,0,3,4,0,3,2,1,0,0,0,0,1,1,0,0,0,0,0,4,2,3,3,0.0,0.0,0,1
113,114,1,1,45,5,3.0,0,1,1,2.5,10,6,0,1,5,5,0,0,3,4,0,0,2,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.275189599,0.791440953,0,0
114,115,1,0,40,12,8.0,2,0,0,0.5,10,5,3,5,0,5,0,0,3,2,1,3,0,1,0,0,0,1,1,1,0,0,1,1,1,4,0,0,2,0.0,0.0,0,1
115,116,1,0,55,16,8.0,0,3,3,0.5,10,6,3,5,1,5,1,0,3,4,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10,0,2,1.0,2.0,0,0
116,117,1,1,55,16,4.0,1,3,3,2.5,10,6,3,5,2,4,1,1,3,1,1,3,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0.159137577,0.375,1,1
117,118,1,0,55,2,2.0,0,3,3,1.5,4,6,2,0,2,5,0,1,3,4,1,0,2,1,1,1,1,0,1,1,0,0,0,0,0,0,4,0,1,0.484888305,0.239980289,0,1
118,119,1,1,55,16,1.0,0,0,0,0.5,9,6,3,3,3,5,0,0,2,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318376068,0.780448718,1,0
119,120,1,0,55,10,3.0,0,1,1,0.5,10,3,2,2,3,2,1,0,3,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.811881188,2.0,0,1
120,121,1,1,40,5,6.082216088328075,0,3,3,2.5,9,6,2,5,1,5,1,1,3,4,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.617391304,1.0,0,0
121,122,1,1,35,3,5.0,0,3,3,1.5,5,6,0,2,4,5,0,0,2,4,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.815384615,0.624358974,0,0
122,123,1,1,30,5,9.0,1,3,3,2.5,10,6,3,4,3,5,1,1,1,4,0,2,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0.665924276,1.626948775,0,1
123,124,1,0,35,22,10.0,1,0,0,2.5,10,5,1,5,2,3,0,1,1,3,1,3,2,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,3,1.0,1.383522727,1,1
124,125,1,0,55,1,6.0,2,2,2,2.5,10,6,3,5,0,5,0,0,3,4,1,3,0,1,0,0,0,0,1,1,0,0,0,0,0,4,0,0,1,0.0,0.0,0,0
125,126,1,0,35,11,10.0,1,3,3,2.5,8,6,0,5,1,2,0,0,3,2,0,3,1,1,0,0,0,1,1,0,0,0,1,0,1,0,7,3,3,0.970792768,0.507997218,0,1
126,127,0,0,40,16,6.0,2,3,3,1.5,9,4,1,3,4,3,0,0,3,1,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,1.0,1.671624714,0,0
127,128,1,0,55,16,5.0,2,1,1,3.5,6,4,1,5,0,0,1,0,3,4,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,4,5,0,2,0.411483254,0.699043062,0,1
128,129,1,0,35,16,6.0,0,3,3,0.5,6,6,0,3,3,5,0,0,1,4,0,3,2,1,0,0,0,0,1,0,1,0,0,0,0,2,6,3,3,0.109181141,0.906327543,0,1
129,130,1,0,35,16,6.0,0,2,2,2.5,10,6,1,3,4,5,0,0,3,4,0,1,2,1,0,0,1,0,1,1,0,0,0,0,0,0,5,1,1,1.0,2.0,0,1
130,131,0,1,45,5,8.0,0,2,2,1.5,1,2,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0.0,0.0,0,1
